DEPARTAMENTO,ESTACION,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Chuquisaca,  Sucre,68,62,70,97,75,74,86,89,89,74,104,72,85,82,79,43,74
La Paz,  La Paz ,99,130,136,97,113,109,108,121,136,129,140,111,128,155,134,101,142
La Paz,  El Alto,106,94,99,110,117,105,116,124,145,147,132,101,133,153,141,109,138
Cochabamba,  Cochabamba,75,63,65,91,85,74,92,89,98,94,87,69,100,105,96,84,88
  Oruro,  Oruro,75,73,58,69,79,77,69,84,85,80,78,62,80,89,75,50,65
  Potosí,  Potosí,52,54,54,61,62,46,57,56,53,43,51,59,43,66,83,86,57
Tarija,  Tarija,66,80,64,102,77,65,81,76,77,72,74,63,78,92,79,65,66
Tarija,  Villamontes,78,75,65,66,59,56,86,83,66,94,80,68,77,78,71,26,43
Tarija,  Yacuiba,86,79,74,98,70,87,92,91,83,111,132,121,120,107,116,43,55
Santa Cruz,  Santa Cruz de la Sierra,92,92,91,123,134,112,101,141,125,156,138,131,155,92,130,100,124
Santa Cruz,  Ascención de Guarayos,94,110,99,95,123,80,89,106,109,129,105,97,116,103,82,57,87
Santa Cruz,  Camiri ,81,72,73,85,63,74,93,89,84,100,102,99,91,92,112,42,74
Santa Cruz,  Concepción,97,97,90,88,103,72,96,99,98,115,91,93,94,101,342,55,78
Santa Cruz,  Puerto Suárez,67,68,66,78,80,71,86,70,81,93,69,89,82,96,56,41,43
Santa Cruz,  Roboré,83,87,72,65,79,73,80,69,87,99,85,81,95,91,77,35,91
Santa Cruz,  San Ignacio de Velasco ,85,83,77,88,89,67,89,77,80,101,75,86,70,76,62,36,75
Santa Cruz,  San Javier ,79,66,68,88,126,96,92,103,109,127,101,91,115,n.d.,84,45,72
Santa Cruz,  San José de Chiquitos,85,94,77,76,84,74,80,91,108,128,100,120,109,81,52,33,50
Santa Cruz,  San Matías ,70,95,74,91,95,76,89,89,96,119,84,92,93,92,63,36,68
Santa Cruz,  Vallegrande,91,76,79,85,63,74,93,94,105,124,115,129,117,135,111,64,104
Beni,  Trinidad,91,105,113,109,149,93,118,118,137,149,138,117,149,141,137,120,129
Beni,  Magdalena,80,91,96,89,109,68,100,114,126,118,117,97,106,120,119,66,108
Beni,  Riberalta ,107,108,129,106,113,101,121,125,129,133,140,126,138,150,112,108,121
Beni,  Rurrenabaque ,105,101,112,129,145,117,153,134,159,159,140,122,141,125,134,n.d.,n.d.
Beni,  San Borja ,91,96,103,86,109,79,113,94,109,109,125,101,126,111,109,90,101
Beni,  San Ignacio de Moxos ,57,58,93,89,114,79,88,89,105,120,119,88,112,108,103,60,71
Beni,  San Joaquín ,105,106,116,102,148,97,54,93,117,123,84,87,98,126,111,59,92
Beni,  San Ramón ,82,88,92,92,121,83,99,92,111,119,88,96,96,113,103,69,59
Beni,  Santa Ana de Yacuma ,86,96,95,108,136,83,114,114,123,127,111,112,122,130,120,75,104
Pando,  Cobija,127,129,131,136,163,136,154,163,149,167,170,139,159,173,162,115,148
